id,web_name,team_name,position,price,ep_total,exp_minutes
190,Ekdal,Burnley,DEF,3.9,20.6,350.0742
191,Estève,Burnley,DEF,3.9,20.6,294.7608041666667
192,Hartman,Burnley,DEF,4.0,20.6,348.8476500000001
193,Humphreys,Burnley,DEF,3.9,20.6,374.8755
194,Jordan,Burnley,DEF,3.9,20.6,0.0
195,Lucas Pires,Burnley,DEF,3.8,20.6,374.90099999999995
196,Sambo,Burnley,DEF,4.0,20.6,0.0
197,Sonne,Burnley,DEF,3.8,20.6,347.43189
198,Tuanzebe,Burnley,DEF,3.9,20.6,0.0
199,Worrall,Burnley,DEF,3.8,20.6,341.15991
200,Anthony,Burnley,MID,5.2,12.65,356.00214
201,Benson,Burnley,MID,5.4,12.65,0.0
202,Bruun Larsen,Burnley,MID,5.3,12.65,355.446
203,Boateng,Burnley,MID,4.7,12.65,309.582
204,Churlinov,Burnley,MID,4.9,12.65,0.0
205,Cullen,Burnley,MID,5.0,12.65,326.055288
206,Edwards,Burnley,MID,4.7,12.65,317.629806
207,Hannibal,Burnley,MID,4.8,12.65,0.0
208,Koleosho,Burnley,MID,5.0,12.65,0.0
209,Laurent,Burnley,MID,4.8,12.65,315.31500000000005
210,Tchaouna,Burnley,MID,4.9,12.65,315.31500000000005
211,A.Ramsey,Burnley,MID,4.4,12.65,0.0
212,Adewumi,Burnley,MID,4.5,12.65,0.0
213,Banel,Burnley,MID,4.5,12.65,309.582
214,Trésor,Burnley,MID,4.4,12.65,311.89641600000004
215,Flemming,Burnley,FWD,5.3,10.0,325.789464
216,Amdouni,Burnley,FWD,4.8,10.0,0.0
217,Foster,Burnley,FWD,4.9,10.0,0.0
218,Barnes,Burnley,FWD,4.3,10.0,309.83472
219,Obafemi,Burnley,FWD,4.4,10.0,0.0
470,Dúbravka,Burnley,GK,4.0,20.6,419.4207
676,Ugochukwu,Burnley,MID,5.0,12.65,363.11469999999997
680,Broja,Burnley,FWD,5.2,10.0,360.59105333333326
722,Florentino,Burnley,MID,5.0,12.65,322.19460000000004
66,Neto,Bournemouth,GK,4.5,21.41,0.0
67,Petrović,Bournemouth,GK,4.5,21.41,377.13779999999997
68,Dennis,Bournemouth,GK,4.0,21.41,357.42870000000005
69,McKenna,Bournemouth,GK,3.9,21.41,357.25860000000006
70,Paulsen,Bournemouth,GK,4.0,21.41,0.0
71,Zabarnyi,Bournemouth,DEF,5.0,21.41,0.0
72,Senesi,Bournemouth,DEF,4.9,21.41,400.197
73,Smith,Bournemouth,DEF,4.4,21.41,387.3977
74,Truffert,Bournemouth,DEF,4.5,21.41,357.9404400000001
75,Akinmboni,Bournemouth,DEF,3.8,21.41,93.72524999999999
76,Bevan,Bournemouth,DEF,3.9,21.41,337.41089999999997
77,Hill,Bournemouth,DEF,3.9,21.41,340.02584
78,J.Araujo,Bournemouth,DEF,3.8,21.41,375.05400000000003
79,Mepham,Bournemouth,DEF,4.0,21.41,0.0
80,Soler,Bournemouth,DEF,4.0,21.41,376.28952222222216
81,Kluivert,Bournemouth,MID,7.0,12.85,358.2131800000001
