fpl_id,fpl_name,xg_per90,xa_per90,match_score
205,Josh Cullen,0.0,0.0,0.0
206,Marcus Edwards,0.0,0.0,0.0
207,Hannibal Mejbri,0.0,0.0,0.0
208,Luca Koleosho,0.0,0.0,0.0
209,Josh Laurent,0.0,0.0,0.0
210,Loum Tchaouna,0.0,0.0,0.0
211,Aaron Ramsey,0.0,0.0,0.0
212,Oluwaseun Adewumi,0.0,0.0,0.0
213,Jaydon Banel,0.0,0.0,0.0
214,Mike Trésor Ndayishimiye,0.0,0.0,0.0
215,Zian Flemming,0.0,0.0,0.0
216,Zeki Amdouni,0.0,0.0,0.0
217,Lyle Foster,0.0,0.0,0.0
218,Ashley Barnes,0.0,0.0,0.0
219,Michael Obafemi,0.0,0.0,0.0
470,Martin Dúbravka,0.0,0.0,93.33333333333333
676,Lesley Ugochukwu,0.0,0.0,0.0
680,Armando Broja,0.029941334798457515,0.05009551633410393,100.0
722,Florentino Ibrain Morris Luís,0.0,0.0,0.0
66,Norberto Murara Neto,0.0,0.0,90.0
67,Đorđe Petrović,0.0,0.0,0.0
68,Will Dennis,0.0,0.0,0.0
69,Callan McKenna,0.0,0.0,0.0
70,Alex Paulsen,0.0,0.0,0.0
71,Illia Zabarnyi,0.03897969598137081,0.027784938142134,100.0
72,Marcos Senesi Barón,0.052468267268598774,0.019199477396938773,95.0
73,Adam Smith,0.018062408566474914,0.02454034855732551,100.0
74,Adrien Truffert,0.0,0.0,0.0
75,Matai Akinmboni,0.0,0.0,0.0
76,Owen Bevan,0.0,0.0,0.0
77,James Hill,0.038223476210145456,0.06761319988191648,100.0
78,Julián Araujo Zúñiga,0.0,0.01139957352631515,90.0
79,Chris Mepham,0.0,0.0,0.0
80,Julio Soler Barreto,0.0,0.0,0.0
81,Justin Kluivert,0.39319870205572705,0.20759859861159174,100.0
82,Antoine Semenyo,0.406785078645308,0.18477522848800645,100.0
84,Marcus Tavernier,0.2989812500369518,0.2425756075279546,100.0
85,Tyler Adams,0.06444431124752714,0.06901807070688437,100.0
86,David Brooks,0.27579842910584035,0.1704571162735131,100.0
87,Ryan Christie,0.06805175490850626,0.15988257871290973,100.0
88,Lewis Cook,0.029131814367103447,0.13857706286053156,100.0
89,Philip Billing,0.0,0.0,0.0
90,Alex Scott,0.0824628032485501,0.1432341615076991,100.0
91,Luis Sinisterra Lucumí,0.701667133685016,0.7179367597050527,95.0
92,Romain Faivre,0.0,0.0,0.0
93,Hamed Traorè,0.0,0.0,0.0
94,Dominic Sadi,0.0,0.0,0.0
95,Zain Silcott-Duberry,0.0,0.0,0.0
96,Ben Winterburn,0.0,0.0,0.0
97,Francisco Evanilson de Lima Barbosa,0.5194799265485596,0.07254487774899286,90.0
98,Enes Ünal,0.6216758928478581,0.16802707444621276,100.0
99,Daniel Adu-Adjei,0.0,0.0,0.0
100,Eli Junior Kroupi,0.0,0.0,0.0
391,Ben Gannon-Doak,0.0,0.0,0.0
685,Bafodé Diakité,0.0,0.0,0.0
687,Remy Rees-Dottin,0.0,0.0,0.0
697,Amine Adli,0.0,0.0,0.0
713,Álex Jiménez Sánchez,0.0,0.0,0.0
721,Veljko Milosavljevic,0.0,0.0,0.0
27,Reiss Nelson,0.25995931396537786,0.2072465601102155,100.0
83,Dango Ouattara,0.48883816374440836,0.26778709690257263,100.0
101,Caoimhín Kelleher,0.0,0.0,94.11764705882352
102,Ellery Balcombe,0.0,0.0,0.0
103,Matthew Cox,0.0,0.0,0.0
104,Julian Eyestone,0.0,0.0,0.0
105,Hákon Rafn Valdimarsson,0.0,0.0,0.0
106,Nathan Collins,0.06985264666084397,0.05193048999889901,100.0
107,Keane Lewis-Potter,0.09363928732721902,0.09596013225774458,100.0
108,Kristoffer Ajer,0.0709111034998606,0.09139128864967618,100.0
109,Rico Henry,0.0,0.0,0.0
110,Michael Kayode,0.030924796040189335,0.16760200884129564,100.0
