id,web_name,team_name,position,price,ep_total,exp_minutes
1,Raya,Arsenal,GK,5.5,13.39,257.23008
2,Arrizabalaga,Arsenal,GK,4.5,13.37,214.45722
3,Hein,Arsenal,GK,4.0,13.37,214.41348
4,Setford,Arsenal,GK,4.0,13.37,214.35516
5,Gabriel,Arsenal,DEF,6.0,17.14,227.83230000000003
6,Saliba,Arsenal,DEF,6.0,15.61,238.61344499999998
7,Calafiori,Arsenal,DEF,5.5,15.34,247.75443
8,J.Timber,Arsenal,DEF,5.5,14.62,202.72194000000002
9,Kiwior,Arsenal,DEF,5.5,14.06,202.43277
10,Lewis-Skelly,Arsenal,DEF,5.5,13.96,202.98357000000001
11,White,Arsenal,DEF,5.5,13.37,225.04770000000002
12,Zinchenko,Arsenal,DEF,5.0,15.19,202.47408000000001
13,Clarke,Arsenal,DEF,4.0,13.37,202.50162
14,Kacurri,Arsenal,DEF,4.0,13.37,202.44654
15,Nichols,Arsenal,DEF,4.0,13.37,202.44654
16,Saka,Arsenal,MID,10.0,19.79,198.30938400000002
17,Ødegaard,Arsenal,MID,8.0,13.85,203.45902199999998
18,Madueke,Arsenal,MID,7.0,16.07,189.33057000000002
19,Martinelli,Arsenal,MID,7.0,14.62,189.38205000000002
20,Trossard,Arsenal,MID,7.0,14.8,206.43012
21,Rice,Arsenal,MID,6.5,12.25,207.52524
22,Merino,Arsenal,MID,6.0,14.38,189.26622
23,Fábio Vieira,Arsenal,MID,5.5,7.84,185.7492
24,Nørgaard,Arsenal,MID,5.5,10.34,154.85417999999999
25,Nwaneri,Arsenal,MID,5.5,11.32,185.78710800000002
26,Zubimendi,Arsenal,MID,5.5,7.84,203.25193199999998
27,Nelson,Arsenal,MID,5.0,13.14,185.76183600000002
28,Kabia,Arsenal,MID,4.5,7.84,185.78710800000002
29,Sambi,Arsenal,MID,4.5,7.84,185.76183600000002
30,Havertz,Arsenal,FWD,7.5,13.56,189.35631
31,G.Jesus,Arsenal,FWD,6.5,6.0,0.0
